PRODUITS_1,1,PRODUITS,,,,ASSOCIATION;SOCIETE_COMMERCIALE,
CHIFFRE_AFFAIRES,,Chiffre d'affaires,,PRODUITS_1,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
70,,"Ventes de produits fabriqués, prestations de services, marchandises",,CHIFFRE_AFFAIRES,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
71,,Production stockée (ou destockage),,CHIFFRE_AFFAIRES,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
72,,Production immobilisée,,CHIFFRE_AFFAIRES,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
73,,Concours publics,,PRODUITS_1,SOMME,ASSOCIATION,
74,,Subventions,,PRODUITS_1,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
75,,Autres produits de gestion courante,,PRODUITS_1,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
REPRISES,,"Reprises sur amortissements, dépréciations et provisions",,PRODUITS_1,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
781,,"Reprises sur amortissements, dépréciations et provisions",,REPRISES,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
789,,"Utilisations de fonds reportés et de fonds dédiés",,REPRISES,SOMME,ASSOCIATION,
CHARGES_2,2,CHARGES,,,,ASSOCIATION;SOCIETE_COMMERCIALE,
60,,Achats,,CHARGES_2,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
CHARGES_EXTERNES,,Autres charges externes,,CHARGES_2,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
61,,Services extérieurs,,CHARGES_EXTERNES,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
62,,Autres services extérieurs,,CHARGES_EXTERNES,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
63,,"Impôts, taxes et versements assimilés",,CHARGES_2,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
64,,Charges de personnel,,CHARGES_2,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
65,,Autres charges de gestion courante,,CHARGES_2,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
DOTATIONS,,"Dotations aux amortissements, aux dépréciations et aux provisions",,CHARGES_2,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
681,,"Dotations aux amortissements, aux dépréciations et aux provisions",,DOTATIONS,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
689,,Reports en fonds dédiés,,DOTATIONS,SOMME,ASSOCIATION,
RESULTAT_EXPLOITATION,3,RESULTAT D'EXPLOITATION (1 + 2),,,,ASSOCIATION;SOCIETE_COMMERCIALE,PRODUITS_1 + CHARGES_2
RESULTAT_FINANCIER,4,Résultat financier,,,,ASSOCIATION;SOCIETE_COMMERCIALE,
76,,Produits financiers,,RESULTAT_FINANCIER,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
786,,Reprises sur provisions pour risques et dépréciations (produits financiers),,RESULTAT_FINANCIER,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
66,,Charges financières,,RESULTAT_FINANCIER,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
686,,"Dotations aux amortissements, aux dépréciations et aux provisions - charges financières",,RESULTAT_FINANCIER,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
RESULTAT_EXCEPTIONNEL,5,Résultat exceptionnel,,,,ASSOCIATION;SOCIETE_COMMERCIALE,
77,,Produits exceptionnels,,RESULTAT_EXCEPTIONNEL,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
787,,Reprises sur provisions et dépréciations (produits exceptionnels),,RESULTAT_EXCEPTIONNEL,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
67,,Charges exceptionnelles,,RESULTAT_EXCEPTIONNEL,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
687,,"Dotations aux amortissements, aux dépréciations et aux provisions (charges exceptionnelles)",,RESULTAT_EXCEPTIONNEL,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
IMPOT_SOCIETE_PARTICIPATION_SALARIE,6,Impôt sur les Sociétés / Participation des salarié·es,-,,,ASSOCIATION;SOCIETE_COMMERCIALE,
69,,Participation des salariés - Impôts sur les bénéfices et assimilés,-,IMPOT_SOCIETE_PARTICIPATION_SALARIE,SOMME,ASSOCIATION;SOCIETE_COMMERCIALE,
RESULTAT_NET,7,RESULTAT NET (3 + 4 + 5 - 6),,,,ASSOCIATION;SOCIETE_COMMERCIALE,RESULTAT_EXPLOITATION + RESULTAT_FINANCIER + RESULTAT_EXCEPTIONNEL - IMPOT_SOCIETE_PARTICIPATION_SALARIE,
